Time [s],Channel 5,Channel 7
0.000000000,1,1
1.705028375,0,1
1.705111375,1,1
1.707114750,1,0
1.707196375,1,1
1.709199625,1,0
1.709281250,1,1
1.711284625,0,1
1.711366250,1,1
1.713369875,1,0
1.713451500,1,1
1.715454625,0,1
1.715536250,1,1
1.717539750,0,1
1.717621500,1,1
1.719624750,1,0
1.719706500,1,1
1.721709625,1,0
1.721791375,1,1
1.723794750,1,0
1.723876375,1,1
1.725879750,1,0
1.725961500,1,1
1.727965000,0,1
1.728046625,1,1
1.730050375,0,1
1.730132000,1,1
1.732135625,0,1
1.732217250,1,1
1.734220875,1,0
1.734302500,1,1
1.736305875,1,0
1.736387500,1,1
1.738390875,1,0
1.738472500,1,1
1.740475875,1,0
1.740557500,1,1
1.742561000,1,0
1.742642625,1,1
1.744646125,0,1
1.744727750,1,1
1.746731500,0,1
1.746813250,1,1
1.748816875,0,1
1.748898625,1,1
1.750902125,0,1
1.750983875,1,1
1.752987375,0,1
1.753069000,1,1
1.755072625,0,1
1.755154375,1,1
1.757158000,0,1
1.757239625,1,1
1.759243250,0,1
1.759324875,1,1
1.761328500,1,0
1.761410250,1,1
1.763413625,0,1
1.763495375,1,1
1.765499125,1,0
1.765580750,1,1
1.767584125,0,1
1.767665750,1,1
1.769669375,0,1
1.769751000,1,1
1.771754375,1,0
1.771836000,1,1
1.773839125,0,1
1.773920750,1,1
3.584718875,0,1
3.584800500,1,1
3.586803875,1,0
3.586885625,1,1
3.588889125,1,0
3.588970750,1,1
3.590974000,0,1
3.591055750,1,1
3.593059125,1,0
3.593140750,1,1
3.595143875,0,1
3.595225500,1,1
3.597229125,0,1
3.597310750,1,1
3.599314375,1,0
3.599396125,1,1
3.601399500,1,0
3.601481125,1,1
3.603484500,1,0
3.603566250,1,1
3.605569500,1,0
3.605651125,1,1
3.607654500,0,1
3.607736000,1,1
3.609739625,0,1
3.609821250,1,1
3.611825000,0,1
3.611906625,1,1
3.613910250,1,0
3.613991875,1,1
3.615995250,1,0
3.616076875,1,1
3.618080250,1,0
3.618161875,1,1
3.620165125,1,0
3.620246875,1,1
3.622250125,1,0
3.622331750,1,1
3.624335125,0,1
3.624416750,1,1
3.626420375,0,1
3.626502000,1,1
3.628505500,0,1
3.628587125,1,1
3.630590750,0,1
3.630672500,1,1
3.632676125,0,1
3.632757625,1,1
3.634761375,0,1
3.634843000,1,1
3.636846625,0,1
3.636928375,1,1
3.638932000,0,1
3.639013625,1,1
3.641017375,1,0
3.641099000,1,1
3.643102250,0,1
3.643183875,1,1
3.645187375,1,0
3.645269000,1,1
3.647272250,0,1
3.647354000,1,1
3.649357375,0,1
3.649439000,1,1
3.651442375,1,0
3.651524000,1,1
3.653527000,0,1
3.653608625,1,1
5.612479000,0,1
5.612560625,1,1
5.614564000,1,0
5.614645625,1,1
5.616648875,1,0
5.616730500,1,1
5.618734000,0,1
5.618815625,1,1
5.620819500,1,0
5.620901250,1,1
5.622904750,0,1
5.622986375,1,1
5.624990250,0,1
5.625071875,1,1
5.627075625,1,0
5.627157375,1,1
5.629160875,1,0
5.629242500,1,1
5.631246125,1,0
5.631327750,1,1
5.633331250,1,0
5.633412875,1,1
5.635416375,0,1
5.635498000,1,1
5.637501750,0,1
5.637583500,1,1
5.639587375,0,1
5.639669000,1,1
5.641672750,1,0
5.641754500,1,1
5.643758000,1,0
5.643839750,1,1
5.645843125,1,0
5.645924875,1,1
5.647928125,1,0
5.648009875,1,1
5.650013375,1,0
5.650095125,1,1
5.652098625,0,1
5.652180250,1,1
5.654184125,0,1
5.654265750,1,1
5.656269375,0,1
5.656351000,1,1
5.658354625,0,1
5.658436250,1,1
5.660439875,0,1
5.660521500,1,1
5.662524875,0,1
5.662606500,1,1
5.664610000,0,1
5.664691625,1,1
5.666695125,0,1
5.666776750,1,1
5.668780250,1,0
5.668861875,1,1
5.670865250,0,1
5.670946875,1,1
5.672950500,1,0
5.673032125,1,1
5.675035500,0,1
5.675117125,1,1
5.677120875,0,1
5.677202625,1,1
5.679206250,1,0
5.679287875,1,1
5.681291125,0,1
5.681372750,1,1
7.875331875,0,1
7.875413625,1,1
7.877417000,1,0
7.877498750,1,1
7.879502125,0,1
7.879583750,1,1
7.881587500,0,1
7.881669125,1,1
7.883672625,1,0
7.883754375,1,1
7.885757750,0,1
7.885839375,1,1
7.887843000,1,0
7.887924750,1,1
7.889928000,0,1
7.890009750,1,1
7.892013375,1,0
7.892095000,1,1
7.894098375,1,0
7.894180125,1,1
